P20273	Q07108
Q9BZD4	Q9NQS7
Q16864	Q6PJW8
O00458	P62269
Q15029	Q7RTV0
P56282	Q13617
Q8WWB5	Q8WWB5
P21673	Q6UXT9
Q8WXF3	Q9Y5Q6
O15304	Q96HA8
P17861	P36578
P02768	Q9NP95
O14901	Q8IUR5
O95777	Q8NAV1
O14972	Q7Z4G1
Q9BYD1	Q9Y2R9
P01574	Q86UT6
Q8WXH2	Q96DF8
Q09161	Q13435
A8MQ03	Q8IUC1
Q8N2Z9	Q9BU64
O60260	Q5QP82
P17861	P62829
Q16625	Q8TED1
P49406	Q96RP9
Q99471	Q9UBK9
P82673	Q8IXM3
Q12999	Q9UHE5
P22692	P22692
O75807	P47985
Q7RTV0	Q9UDW3
O14964	O15496
P62851	Q9Y399
P14920	Q9P2K6
P04424	Q16822
O95295	Q99816
H3BMG3	P62829
P51116	Q15041
P58753	Q15750
Q6ZQW0	Q9UNG2
P61244	Q6PI98
Q5SR56	Q9NRZ5
O14543	Q9NSE2
P78316	Q9Y3B2
Q00403	Q04206
Q7Z2W9	Q92901
O00622	Q9UHD9
Q8IWA0	Q9NW13
P26373	Q9BZE4
P27694	P43246
Q96KN3	Q9H0L4
P63279	Q13263
P51878	P59044
Q9NUH8	Q9NUU6
Q96A46	Q9NRK6
Q9BZE1	Q9NQ50
P62854	Q13347
O75354	Q8WVQ1
Q96KB5	Q99661
P36941	Q12933
A6NJV1	Q5BN46
Q96FM1	Q96FM1
P61513	Q6DKI1
O43660	P52298
P08865	Q6W5P4
P08621	Q969L4
Q96JW4	Q9H400
O95721	O95721
P09601	Q12887
O75683	Q9UKD2
Q86UW8	Q9BZW4
Q9BYC8	Q9Y3D3
Q9Y2B1	Q9Y2B1
P42857	Q8NC24
P05231	P17931
P49959	Q8WXE1
Q86VI1	Q86VI1
Q5TB30	Q8IX90
Q13838	Q15637
Q9H8H0	Q9Y2R4
Q8IXM3	Q9Y2R5
Q12893	Q13520
O15354	P08195
Q96CM3	Q96EH3
Q5VU69	Q8N1D5
Q13950	Q13951
Q6UW56	Q8NCC5
Q15544	Q9BUE0
P49768	Q5D0E6
P25398	P62857
Q13148	Q96LT7
O43674	O43920
O00482	Q96CK0
P27635	P30050
Q9HCS7	Q9HCS7
P80723	Q96GE6
O75821	P62273
Q9BTE6	Q9BTE6
O75400	Q8WXA9
Q9BRX5	Q9UBD5
Q13190	Q99747
P07954	P48735
Q16236	Q9UBK2
P45880	Q9Y3C5
P78383	Q9GZY8
P06307	Q8NI22
P25398	Q9HA92
P26368	P84090
O14867	P09601
P61927	Q9H009
P01730	Q5VWK5
O75360	Q9Y5V3
P55010	P62847
Q8TAV5	Q8TAV5
P43897	Q9NWU5
Q13263	Q9Y230
Q8N443	Q9UKZ1
P05161	Q05823
Q8NCW0	Q96MU8
P57078	P57078
P06746	P13051
P05187	Q9H3S4
O00628	Q99932
P60484	Q96PE3
Q8NBZ0	Q8NDC4
P49411	Q9BT17
Q15029	Q969L4
O15160	P62913
O95478	P05388
P01732	Q8WTV0
Q8N9E0	Q9NZ81
O75031	Q9Y5V3
Q8N7W2	Q8TBB1
P49458	P61927
P08559	Q9P0J1
Q9BZJ0	Q9Y421
O60762	Q8WZA1
Q07617	Q9GZS0
Q13113	Q9Y6G1
P55036	P61289
P62424	Q99832
Q86V42	Q8IYX7
Q96PV7	Q96PV7
Q7Z4V0	Q96GN5
Q2NL82	Q9UKD2
Q8IYX8	Q9H257
Q5VWI1	Q96NC0
O75593	P13385
Q96RN1	Q9H0H5
Q68DC2	Q6RW13
O75683	Q9Y3T9
O14543	P05112
Q05086	Q15008
P08865	P62906
P50461	Q9UGJ0
P08621	Q96DI7
P35250	P49642
O43172	Q8WWY3
Q9H446	Q9H446
P50458	Q9H2A3
P63173	Q9Y399
P27635	P46782
Q86TS9	Q9H2W6
O14880	Q8TED1
Q3KNT9	Q8IYV9
Q96PU5	Q9BXM7
Q86U70	Q96A47
P08034	P11049
P19387	Q9BYC8
Q17RB8	Q5T686
Q13574	Q6UWP7
P48444	P53618
Q494R4	Q9H8Y8
Q8NAT1	Q9Y6A1
P62750	Q9Y3D3
Q9BVP2	Q9GZR7
Q14134	Q9BRK4
O43278	Q9UHD9
P46778	Q8WU90
O75841	Q9NR31
O60716	P33151
Q9P2S5	Q9Y2D8
Q96HH9	Q96IW7
O95159	Q5T7V8
P55263	Q9H0P0
Q9BRU9	Q9ULX3
O75558	O75771
P41273	Q9Y6W8
P04818	Q6UB35
Q13352	Q96HA8
Q15025	Q9UHD2
P16473	P21579
Q8IYD9	Q8IYD9
Q7Z6J9	Q96DV4
Q8TDV0	Q9NQG1
Q01201	Q9UER7
P00156	P13073
O95947	Q96G42
P49711	Q12933
B5ME19	P25398
P07992	Q8NB91
Q15029	Q96DI7
O75503	P01344
O15169	O43586
O00622	O95229
P51398	Q96BP2
Q13520	Q8N2U9
Q92993	Q99459
P53582	Q8IUF1
P08559	P49821
P26378	Q9H204
Q4U2R6	Q86TS9
O75031	Q9NQL9
P14625	Q96CS3
Q2NL82	Q9Y3T9
Q6RW13	Q8NI60
P36888	P46527
Q9BSE2	Q9Y6X1
O60508	P62316
P82912	Q9Y3U8
P98082	Q5SW96
Q9NVS2	Q9Y291
Q96BD8	Q96IK1
P48551	Q9UMW8
O15514	P19388
P05090	Q9BSE2
P25398	P62841
P18077	P26373
Q5T1N1	Q92901
O00458	P46778
P27797	Q68CL5
O95182	Q9NRX3
P36406	Q99990
Q14254	Q14254
P42677	Q9Y3A4
O43927	P48061
Q52LG2	Q9NW38
Q13601	Q9NXF1
Q8IWZ5	Q8TCT0
O15514	Q9P086
P11177	Q16795
P51685	Q07325
Q86XT2	Q9H9H4
P62917	Q9H089
Q8TBE9	Q9Y617
P02790	Q9NRE1
Q92665	Q96RP9
O15239	P14406
P05388	Q96A35
O95139	Q9UI09
P25791	Q9NQL9
P08311	Q9UI42
O60733	P35354
Q14108	Q15109
P47914	P60059
O43143	P09012
Q8IVW4	Q8N6L0
P82673	Q9P0K9
O15514	Q9NVH2
P51116	Q53EZ4
P42677	Q96GA3
P61927	P62829
O75190	O95817
P62487	Q92917
O15446	P36954
P49901	Q9BZL1
P00491	P00491
P0CG48	P98170
P46781	Q9UQ80
Q16637	Q9Y5V3
P19387	Q15543
O75251	P31040
Q08050	Q5TB30
P62314	Q9HCG8
O14957	P15954
P01730	P43489
P00742	P0DPK4
O75400	Q5HYN5
Q14D33	Q9Y2V7
P62318	Q9NX24
P62266	Q92615
Q70UQ0	Q70UQ0
Q96KN3	Q96M11
P23434	P36957
Q16880	Q9HCG7
P00414	P10606
Q13573	Q8IYB3
P06576	P31040
P33993	Q8TD10
Q53S33	Q5T440
O95876	Q13049
P07954	P16930
Q12788	Q9Y4C8
Q9BQ48	Q9BYD2
P55769	Q92979
Q49B96	Q8N4Q1
O14908	O14908
O60635	O60779
Q8WVX3	Q9NW97
Q0VAQ4	Q6ZT21
Q0VGL1	Q8TEV9
O75298	O75298
P63208	Q5XUX1
Q8IYB8	Q9NQT5
P22090	P62888
A6NER3	P84098
Q147X3	Q14CX7
O43752	Q5QGZ9
Q9UI36	Q9UJ70
O60573	Q9BRK4
Q9NRY2	Q9NRY2
Q9NUG6	Q9Y230
Q6E0U4	Q6UWP8
O60341	Q9H9Q4
P33681	Q01151
P53803	Q8IXW5
O75832	O75832
Q8N688	Q9H1M3
Q01780	Q9Y3A4
O75575	O75575
Q9BQI3	Q9Y6K9
O75152	Q86W42
P62314	Q15029
O75477	Q9BVT8
Q96NT3	Q9H0N5
Q8N5Y8	Q8N5Y8
P48444	Q9BU68
P15104	Q5TDP6
Q96CN5	Q96ST8
Q8N2Z9	Q96NY9
P22061	P49247
P62995	Q15428
P56556	Q9UDW1
P62829	Q9P287
A2CJ06	Q5I0G3
P62266	Q9H173
P82933	Q13405
Q5BKX5	Q9NQ94
Q07020	Q6W5P4
P61803	Q8N6L1
P86790	Q9P253
Q13162	Q8NBS9
P42898	Q86XF0
Q6P582	Q9NRH3
Q8TDN6	Q9NUL7
Q9NQZ6	Q9NQZ6
O75865	Q5T7N3
O43557	Q9Y342
Q70YC5	Q9NRI5
Q03169	Q8IYI6
Q9BQG2	Q9NRC8
Q8NI36	Q96B26
P36578	P62851
O95995	Q3SY00
P50539	P61244
P09661	P62310
Q8IWX8	Q8WVK2
P36954	Q8WVC0
O75600	Q9BQ95
Q13823	Q15397
Q13895	Q8N720
O43395	O95391
P04637	P06401
O14777	P03372
P01042	P30556
P49959	Q6UWZ7
P49368	Q9UBS4
Q6ZNG9	Q8WUI4
Q16617	Q96HJ5
Q8TBB1	Q9UL46
O60508	Q96A72
Q8IVT2	Q9H0I2
P61927	Q15041
A2RTX5	Q96I59
P82664	Q8NC60
P04637	P46527
P62888	Q5T1N1
O14544	Q9UBF6
Q69YN2	Q69YN2
P61421	Q9UI12
Q6NVH7	Q9NZD8
Q8N5M9	Q9NRZ5
P54219	Q9BSR8
Q969F0	Q96JW4
Q9NYH9	Q9Y2X3
P15880	P61247
P81534	Q30KQ6
P10415	Q9H1Y0
P00156	Q13515
O95876	Q8TAM2
P63173	Q02543
P00414	Q9P016
P09917	Q6PII3
Q15185	Q99832
P27701	Q9P2B2
O95298	P24539
Q9Y2R5	Q9Y6G3
P53350	Q8NHV4
P39019	Q9NY61
Q6NT76	Q8TBB1
Q96HA8	Q9NX63
P49591	Q9BYN7
O75935	Q15645
Q03188	Q9BZD4
P14868	P14868
P49908	P63220
Q8WU90	Q9H446
P04637	P14780
P50539	Q8N720
Q4U2R6	Q9Y3B7
Q14677	Q9BXS5
Q8TEB9	Q8TEB9
Q6YP21	Q93088
O60861	Q96EZ8
Q7L190	Q86X95
O95848	Q9BQG2
Q8TAE8	Q9Y3B7
P57772	P62241
P78424	Q2M1V0
P22670	Q13099
Q86SQ9	Q96E22
P50991	P63244
Q9BRT3	Q9BRT3
O43913	P33992
P40429	Q96IZ7
P30566	Q14123
P46776	Q96EY4
O00217	P30049
P20042	P61353
Q9Y385	Q9Y5Y7
Q14137	Q9Y2R4
Q13216	Q9NZJ0
O75807	Q5SWA1
P01730	P01730
P55769	P62913
Q13427	Q13427
P06731	Q6ZQX7
Q9NRA8	Q9NRA8
Q8NHQ9	Q9NRD5
Q8N5Y8	Q9Y6F1
P12694	Q9BYZ2
P04233	P50914
Q8TBB1	Q96DZ9
P56557	Q8TDT2
Q7Z5P4	Q9NRZ5
O95456	Q9BYD1
Q6NTE8	Q8NI36
P13010	P43243
P40937	P49005
P17152	Q86VR2
P04179	Q9NRX2
P38646	Q8IWL3
O60508	Q96NC0
P60568	Q9HBE5
O15519	Q12933
P62854	P78345
Q86VR2	Q969S6
Q8N0V3	Q9Y676
Q8WUH2	Q9P253
Q02161	Q02161
Q8N912	Q96DZ7
P07954	Q16798
O14901	Q86U90
P05387	P05388
P02649	Q5SW96
P16499	P54845
P08397	P08397
P20674	Q96AK3
P28799	Q9UNE7
Q00987	Q8N9N5
P61247	Q9UMY1
Q15276	Q9UJ41
P09038	Q9BZZ5
Q7Z699	Q9BT09
O43889	Q9BXR6
P49748	Q53T94
Q8N895	Q92870
Q96CD0	Q96CD0
P82914	Q9P015
Q13573	Q7RTV0
P02749	P02749
Q96G91	Q9Y3B9
Q9GZS1	Q9NYV6
Q13113	Q6UX40
P01275	P52945
P49674	P62258
O15234	Q9UMS4
P50570	Q9P0V3
P40429	Q9Y3U8
P29965	Q9Y275
P06748	Q9UGN5
P05112	Q14626
P28799	Q9Y240
P26367	Q8IW40
Q16540	Q9P015
P07947	Q13769
Q16342	Q8IYX1
P18545	Q8N8E2
Q6ZW76	Q9H694
P00491	Q96BW1
O15519	Q07820
P61073	Q03135
P08865	P62917
Q9BSF8	Q9BSF8
P03886	P49821
Q5TEU4	Q9UJA2
P17540	Q9P2K6
Q6PID6	Q9BVL2
O14625	P02775
O43513	Q9NX70
P42766	Q9Y450
P06576	Q99798
O00116	O75381
P23786	P51659
P35225	P40189
O14920	Q9UGK3
Q969Y2	Q96PZ0
P61296	P78413
P62826	Q96EY1
P41159	Q16568
P50991	Q9Y230
O43474	P15018
A1A519	Q96E35
Q14197	Q9BYC9
P17568	Q99643
O75344	Q8TC59
P60985	Q6UWP8
Q13616	Q969M7
P32929	P48507
P13765	P61769
Q13895	Q15061
O00217	O75807
P50454	Q9NPC7
O75529	Q70EK9
O00458	P63220
O95295	Q6QNY1
O43765	P08294
Q96G21	Q9Y3A2
Q9NVV9	Q9NVV9
O75506	Q8WUW1
P61254	Q8IY81
Q9BYC9	Q9H2W6
P28329	Q6IAA8
Q92685	Q9Y673
O43318	Q9NPA8
P62841	P62899
P08708	Q8TED0
P22301	Q14626
Q9Y5Q0	Q9Y5Q0
P05231	P16070
Q63ZY3	Q8WTP8
P13051	P32320
Q5T3J3	Q9BSW2
P78316	Q9NPD3
P01286	Q9UBU3
O00566	P78346
O15382	Q9BYV1
Q06136	Q9BX95
Q9H7V2	Q9NQQ7
Q9BT17	Q9BYC9
P18074	Q96HR3
Q15543	Q9BUE0
A6NER3	Q07020
P22301	P25963
O43678	P15954
P32969	P80217
P55212	Q8WUX9
O14880	P00390
Q9BSI4	Q9UJW2
P34981	P52803
O14775	P08908
P30040	Q9UHD9
Q53T94	Q53T94
P03897	P14927
O43829	P62826
P29084	P49848
P26599	P98175
Q8N8D1	Q8TBF4
Q8TBB0	Q9BXS5
Q9NX20	Q9Y3U8
Q9BUH8	Q9BUH8
Q96CU9	Q9BQ95
P50914	Q9Y5M8
P02652	P55058
P38432	Q13895
P46776	P62269
O95199	O95199
P82921	Q9Y2R9
A5PLL7	Q9C0D9
Q9BZQ2	Q9Y2P0
Q8NEJ9	Q9Y221
P04004	P17936
Q13443	Q9UI95
Q13895	Q9BVI4
O15037	O15037
Q8N228	Q8N228
P49406	Q9Y2Q9
O95139	Q9P032
Q13573	Q969L4
O00746	Q05516
P43251	Q8N6Y0
P01584	Q5VWK5
P20472	Q9NQX3
O43464	Q8IUR7
Q96FV9	Q96J01
O95178	P03897
P50402	Q13895
P53803	Q13889
Q15370	Q15370
O15455	P01584
Q9BT49	Q9BYP8
Q17RD7	Q9Y3C5
P52657	Q92750
Q8TED1	Q9Y6D0
Q96DZ9	Q96GF1
Q8NCD3	Q9NSP4
P62269	Q969X6
P01350	P09683
P20592	Q92917
Q9H1K1	Q9Y3E2
P51608	Q6PCB6
O60613	P59797
P50570	Q9NSE2
P26367	Q9UIG4
O14713	Q6PIW4
O75400	Q9H0D6
Q8IXH7	Q8IXH7
Q0PNE2	Q96EB1
P27694	Q8WVB6
Q8WV99	Q9H672
P21912	P53597
Q8IYU4	Q8IYU4
Q96T49	Q96T49
Q9HCU0	Q9HCU0
Q9H981	Q9NPF5
Q16514	Q9Y2X0
P52306	Q9NS73
P02649	Q9NYH9
P06729	Q96A28
Q8IXZ2	Q92989
P56537	Q6RFH5
P25788	P62913
P07492	P30990
P49639	Q9BQ66
Q13569	Q92870
P08195	P80188
Q13573	Q86Z20
P02654	P02656
A0A096LP55	O75306
P62244	Q9ULX3
Q6SZW1	Q9HAN9
P14314	P14314
Q8TBK2	Q9ULX3
Q13200	Q5TDH0
O60603	P13500
P82921	Q9BYN8
O60894	O60894
Q7Z2K6	Q9BQ51
P08235	P28845
Q8TDQ0	Q92692
P13598	P25942
Q12834	Q5TB30
P82912	Q9BYC8
P35268	P41091
Q06265	Q92979
P49368	Q8TAM1
Q969L4	Q9BWJ5
P01189	P80188
Q9NPI7	Q9NPI7
P11177	P51553
P22352	Q9BUX1
P14373	Q9H0A9
P62306	Q9BW85
P49406	Q96S96
O43143	Q9UKD2
O14880	Q5VZY2
O15553	Q14116
P01282	P01303
P14598	P47712
O95715	O95715
P61254	Q9NRX2
P52815	Q9H173
P25786	P25786
P62857	Q969X6
Q99638	Q9BSD3
P0CG48	Q9H305
P60033	Q8WUM4
Q13573	Q96DI7
P25490	Q8N488
Q08426	Q96GQ5
P46199	P46782
P0CG48	P28072
O14561	Q9UDW1
P01019	P02741
Q15370	Q96BM1
Q16543	Q9UBS4
O95562	Q14973
Q9BYJ1	Q9BYJ1
P19404	Q9NX14
P08138	P23515
O75396	Q9BVK6
P27449	P84090
P05161	P62277
Q9BSC4	Q9H501
Q96AJ9	Q96MW5
Q7Z2W9	Q9HD33
P09661	Q9NRD5
P46783	P84098
Q04864	Q9H3H3
O60830	O96008
P18621	P61247
O14678	Q9H3L0
O43172	Q9BWJ5
Q8WUD4	Q9HCG8
Q8NFH3	Q9BVL2
P82675	Q9NWT8
P12074	P12074
Q7Z2W9	Q9NZL4
P46777	P67870
P46776	Q969Q0
P17947	P35659
P82663	Q9Y3D3
O15169	P03372
O95140	Q9NX47
Q8IUW3	Q9NUW8
O75460	Q9UBV2
Q8NCG7	Q92989
P46781	Q9H2W6
O14965	P33552
Q9BZE4	Q9Y3A2
P37287	Q8IV48
Q7Z699	Q9H0X6
O15145	Q9NX95
P17152	Q9NVH1
O43674	P57086
P31948	Q9H078
P29692	P63241
P19438	Q8N5C8
Q9BYG3	Q9H089
O43172	Q8NAV1
P49798	P59103
Q12834	Q8WVK7
P25942	P60201
P29965	Q07011
O95900	Q96PZ0
P41091	P62857
Q12893	Q969V5
Q4U2R6	Q96RP9
P04424	P78540
O75414	Q16774
A5D8V6	Q9NQG5
Q9UF47	Q9UF47
O95436	Q9UKR5
O00198	O00198
Q8N5N7	Q9P0J6
P29590	P29590
P55273	Q9BRT2
P53350	Q15645
O00444	O15060
O43252	Q9H2U2
O94906	P09234
P05388	Q96IZ7
O43143	Q9Y3T9
P49321	Q8N806
P26641	P61247
Q96A29	Q9H1N7
P17931	Q0VD86
P35249	P49642
Q92903	Q9UKG4
Q8TDD1	Q96G91
P49591	Q92615
P01375	Q92542
P05387	Q96A35
Q8TDW5	Q9BTA9
O95394	P06744
Q02543	Q92905
Q32NB8	Q96BW9
P04233	P62917
P05121	Q03405
Q13610	Q2NL82
P06731	P07492
P62277	P62750
Q15696	Q6BDI9
Q8ND83	Q92805
P51948	Q16514
P62244	P63244
Q12981	Q13190
Q86X24	Q8IYF3
Q9UBI4	Q9UBI4
P62487	Q8WYQ4
Q12834	Q9H0E7
Q6P996	Q96AB6
Q13823	Q9UJA5
Q9BRX9	Q9Y2Q5
P18031	P18031
P05121	P09038
P11831	Q969V6
P55075	Q05925
O14561	P40926
P35247	P35247
P07902	Q16851
O60547	Q96HA8
P0C264	P0C264
Q9BQ67	Q9NY61
O76031	Q96TA2
Q7LC44	Q9H788
Q9BQG1	Q9BQG1
Q53FP2	Q96DZ9
O14653	Q9BV40
Q8N6L0	Q9UHJ9
O75031	Q64LD2
Q5BJF2	Q9BQ51
P22413	Q9HCR9
Q13503	Q96GS4
Q3KNW5	Q9BUN8
P10914	Q9UNE7
Q5QJE6	Q9UMY1
Q6NUS6	Q96Q45
O95707	P78345
O75306	O75390
P09001	Q7Z7H8
Q13769	Q96J01
Q96IW7	Q9H813
O14957	O43716
O75380	P30043
P30566	P48735
Q9P2W7	Q9P2W7
Q13503	Q6P2C8
P48775	Q6YP21
Q9BRA0	Q9Y4Y9
P25786	Q13200
P11511	P49675
O75031	Q86XR8
Q9HCN6	Q9P126
P0DPK4	Q03014
O75936	Q86XT4
O95149	P09661
P05388	Q9Y3U8
Q02930	Q96IF1
P61081	P61960
O75460	Q07812
Q5EE01	Q96KB5
P26373	P62847
O43464	Q13490
P62244	Q12788
O60216	Q9BVC3
P62314	Q8WVK2
P22570	Q5TDP6
P46776	P46778
Q92665	Q9Y2Q9
Q13228	Q93088
P61289	Q9UNE2
Q9NPQ8	Q9NPQ8
P27635	Q8N0Z6
P00156	P19404
P17096	P37231
P19387	P82933
P47813	Q9BYC9
Q8NHG7	Q9BZV1
P0CG20	P59942
P25205	Q53HL2
P43243	Q12906
P30049	P38606
P04053	P15391
Q8WXA9	Q9UHX1
Q969G9	Q99750
O95183	O95870
Q86VI1	Q9Y2D4
O60783	Q02878
P37840	Q8N594
O95971	P18627
P61758	Q5JVL4
P13667	Q9Y4L1
P49643	Q9NRG0
P31939	Q9UGI9
P42568	Q9H2F5
Q12874	Q9Y4Z0
Q3MUY2	Q3MUY2
Q86TY3	Q86TY3
P46778	Q9H8N7
Q15061	Q969X6
A6NEM1	P56470
Q96QS3	Q96QS3
O95992	P35610
P15391	P28908
P49821	Q92993
Q3B820	Q8IV03
P53384	Q9UHB4
Q9NS75	Q9NS75
O95777	Q15020
P23508	Q9Y324
Q9UKG1	Q9UKG1
P13591	Q14108
O60716	Q9UHB6
O75575	Q9NR33
P16435	Q8NFF5
P40933	Q5VWK5
O60260	Q71RG4
Q5U649	Q96DN0
O14879	Q8IXX5
O43482	Q9BWT6
P02545	P10074
P01100	Q9Y4A8
P40429	Q9BYG3
O00124	Q04323
P49407	P49407
Q8WXX5	Q99832
O15234	Q9NXE8
O43674	P09669
Q969Q0	Q96EY4
Q9NQT5	Q9Y580
P52803	Q8NBW4
Q8WWB3	Q9BT92
P01298	P78426
P62269	Q9Y5J1
P57081	Q96FX7
P41091	P62841
P78560	Q15628
O75379	P34910
P30566	Q9NPB1
Q14444	Q8N543
Q08345	Q9UHD9
A0A1B0GUS4	P0CG48
P02766	Q9UNS2
Q2TAY7	Q4VC12
Q5JST6	Q9H5Z6
Q08050	Q16254
P61758	Q8WTV1
Q13427	Q9Y5S9
P49281	Q9UHE8
P01732	P28906
P62899	P83731
Q9H2S6	Q9H2S6
Q86SJ2	Q86SJ2
P62891	Q9Y2R9
Q9H0Q3	Q9H0Q3
P55036	Q96FJ0
Q9BYG5	Q9UPQ4
P55345	Q9NTZ6
Q9H6L2	Q9P0N5
Q8N3A8	Q9UBQ7
P15927	Q86UA6
Q9GZL7	Q9NY61
Q7L2J0	Q8WWY3
P11362	P11362
Q08J23	Q99848
Q9H788	Q9Y605
Q14677	Q6P3W7
O14843	P21964
Q8N488	Q92597
P43489	Q8TDQ0
P54253	Q12933
P04090	Q9HBX9
O00488	P61513
Q8IZE3	Q99757
P52594	Q8WXE9
P40429	Q9BYC8
P62857	Q9Y5J1
P55036	Q14145
P05093	P16435
P39019	Q8N9N8
O43143	Q8N8D1
O95168	Q9UDW1
O75821	Q9UBQ5
P43351	Q96MF7
P56962	Q6ZNE5
Q6PI77	Q7L5A3
Q15738	Q9Y320
P49458	P50914
P10075	Q7Z699
Q04727	Q9NQB0
Q99467	Q9Y6Y9
Q15459	Q53GS9
O00762	Q13164
O75394	Q9H4K7
Q9H488	Q9Y4P3
P60022	Q30KQ9
Q13561	Q9UL45
Q99747	Q9UEU0
P0DPK4	Q52LG2
O95777	Q9BZL1
Q09327	Q9BSL1
P08700	P40238
O14561	P49406
Q03989	Q08AM6
P63173	Q9NZM5
P46108	Q15464
O15131	Q5BKZ1
P24534	Q13347
Q01658	Q16594
O95760	P01584
A5D8V6	Q9H7P6
Q07820	Q13323
A4QMS7	Q9H5F2
P12081	Q6PI48
O00311	P38936
O43829	Q2NKX9
Q96HR9	Q9NZD8
P01270	Q02318
Q9Y5P3	Q9Y5Q9
O60869	P62913
Q9BZW7	Q9NRI5
P61978	Q9Y6Y0
Q8NAT1	Q9Y2B1
Q6GPH4	Q9H0J9
O60508	Q9BWJ5
O00254	P00734
Q15800	Q9NWH2
Q92696	Q92696
Q14331	Q86X95
O94972	P26196
P51946	P51946
O75175	Q9Y3B2
Q9H9L4	Q9NV56
Q08426	Q96HR9
P18621	Q8TCC3
P13693	P61247
P19387	Q9NX20
Q13616	Q9Y3I1
Q63ZY3	Q9UGI0
Q6IPU0	Q9Y2Y1
Q969K7	Q9NP94
P01374	P29965
P01583	Q01638
Q9NYB0	Q9NZT2
P63220	P82675
P48449	Q13907
O43660	P26368
P25791	Q6RW13
Q9BUH6	Q9Y6H3
Q5U649	Q5U649
P52435	Q9BUE0
P61160	Q8TDU6
Q8IU54	Q9NPH9
O43324	O43324
Q8TDD1	Q9GZL7
O15514	P62316
P39656	Q8WTV0
O60508	Q8NAV1
Q5SW24	Q96B18
Q68CQ4	Q9NY93
P05161	P62244
O95900	Q9NYY8
Q06432	Q9NTU4
Q8WWZ3	Q9HAV5
P01583	P01732
O95183	Q9GZR5
Q14197	Q9BYD1
Q0VD86	Q969S2
P25786	P50991
Q16719	Q8TDC0
O14964	Q9H5F2
P16298	P24588
P28799	Q13148
P0C870	Q12951
Q8N442	Q9BYD6
P04053	P12018
Q12874	Q9BZL1
O00408	Q02153
Q16891	Q8N4H5
P50991	Q02878
P43034	Q12834
Q09161	Q15287
Q13601	Q9NX58
P21579	P49768
P00414	Q2TAK8
P49418	P49418
Q9BSH5	Q9NW38
O43464	O43464
P01833	Q96PJ5
Q07020	Q9UKD2
P51116	Q0ZGT2
P19838	Q9Y275
Q7Z2W9	Q9NZE8
O94769	P41223
Q49A88	Q49A88
Q63ZY3	Q8IYA8
P06731	Q13421
Q8IXL7	Q9UKN5
P43490	P82933
Q9BT17	Q9BYD1
O94907	Q9UBP4
Q96NC0	Q9BTD8
Q15370	Q96EB1
O00567	Q9UK45
O00567	P62241
P10646	Q9H6B4
Q13835	Q9Y446
P82933	Q92901
Q86WV1	Q96QH2
Q8N6L0	Q8TAQ9
P42696	Q9BXY0
Q15427	Q9UBY9
P09234	P55769
P02652	P04180
O75558	Q8N6Y0
O14965	P51955
Q5JST6	Q8IVT2
Q14145	Q9H1Y0
O00206	P35225
P29350	P40259
O43293	Q9NY61
Q6NTE8	Q9Y2R9
Q12891	Q9BYR7
Q15291	Q9NRY2
Q9NSG2	Q9NSG2
Q9BQ95	Q9NX04
O43175	P07738
Q13148	Q96NJ5
O43181	Q9UII2
O60496	Q9NUX5
P28799	Q6P5X5
P46782	Q8N9N8
O14939	Q99943
Q96PQ1	Q96PQ1
Q8TAD8	Q9Y4Z0
Q16880	Q9C0D9
P08621	P52298
Q6SZW1	Q9Y4K3
P05198	Q9NX24
O43920	O75438
P37198	Q53GS7
Q969F0	Q969F0
O43829	Q5T7W7
Q6UWE3	Q9UHD9
P28799	Q8N0Y2
O14641	Q9HC62
Q9UI09	Q9UI09
P00846	P62269
Q02543	Q5JPH6
H3BRN8	Q2TAL8
O75841	Q6UXK2
O15217	P36969
Q15061	Q9Y5J1
O43543	Q99708
P78411	Q8NB12
P46777	P47914
P61247	Q5QJE6
Q7Z4G1	Q86X83
O95478	Q969S3
Q15369	Q9Y2N7
P00480	Q03154
H3BMG3	P82664
P46952	P48775
P51991	Q92804
Q9NWU5	Q9Y399
P06401	Q02790
O75360	Q5TA45
Q86UF1	Q9H0C2
P04424	P30566
Q7Z2W9	Q9BYC9
P00738	P00738
Q07020	Q9Y3T9
P46776	P63220
Q86Y79	Q86Y79
O95429	Q96K62
P00390	P21266
Q86TS9	Q9Y399
P08708	Q5T1N1
O15258	O15258
Q8WXK4	Q8WXK4
P47897	Q9BUZ4
P08962	Q8WUM4
O15444	P51685
O77932	P61086
P41208	P51948
O15520	P14210
Q15070	Q96EL2
Q99932	Q9BPU9
P04637	Q07820
O14910	Q02410
P34972	Q13501
O14965	Q96FF9
Q96S90	Q99081
P36954	Q15543
P62314	P84090
P62241	Q9Y324
P55000	Q8N2G4
P32969	P46087
O43143	Q8IWZ8
Q96HB5	Q9Y2V7
P62316	Q9H840
O95995	Q8IY82
Q13203	Q96NY8
Q13950	Q15672
Q8IYB7	Q8IYB8
P49760	Q9Y383
Q8WYQ5	Q9H633
Q5T3J3	Q8N5Z5
O15218	P49407
Q969Q0	Q969Q0
O95994	P03372
P25705	Q9BYD6
P62241	P78371
Q5JX71	Q9Y228
P36542	P46781
P61313	P62266
O00233	O00233
Q8IXK0	Q9UJX6
P17931	Q06710
O75400	Q6IN84
Q8N661	Q9NS64
O76021	P49207
P00747	P02790
A0PK11	Q8TBE3
