P81760	Q9SR70
Q6DUW7	Q9FZ54
P56805	Q9M1X0
Q9C616	Q9SIB4
P49107	P56766
Q3E991	Q4VP09
Q8L4Y2	Q9LXR9
Q6DBN1	Q8LBS4
P56790	P62090
Q8H0W1	Q9M9Z2
P61841	Q9SJ41
O04652	Q6X5Y6
P56763	Q9M385
F4I7C7	Q8GUP3
Q9LZ66	Q9M0Y6
A8MR65	F4HYD7
O81014	Q94B35
P56798	Q9LRN8
Q3ECJ5	Q3EDH8
P42793	Q95749
Q9LRV8	Q9ZT92
Q8LD43	Q8S2W4
Q9FMS5	Q9XHV0
Q8VYR5	Q9FZD1
P0CC33	P56774
P56791	P56798
P92959	Q9FUZ2
Q9FMT4	Q9FMT4
Q42606	Q9S9P8
Q9MBA2	Q9MBA2
Q9FX53	Q9LJG8
Q52K95	Q9FZ54
Q38961	Q9FQ08
Q8RWA5	Q9FGS4
Q94AQ8	Q9FG89
Q39048	Q9FVS9
Q9C587	Q9FT74
F4JZL7	Q9SFF7
O22977	Q8W5R2
O22213	Q9ZUX7
Q9M9A5	Q9XEF0
P19171	P50700
P56773	P61847
Q8LCH5	Q9CAF6
Q42600	Q84WP6
F4I8U2	Q9LV91
Q8GYN5	Q9SE33
P56763	Q8W5S1
Q0WQJ3	Q9SAG8
P92567	P93275
O22795	P51412
O80488	Q9LNC0
P56778	Q8W4D6
Q1PE40	Q8GT74
P34791	Q39218
F4JW68	Q2V337
P56761	P56762
Q9S714	Q9SJ89
O80883	O80883
P49107	Q8LCQ4
O48682	Q9SE95
Q9FJQ5	Q9SKK0
O22808	Q6NPN4
Q8L7Q7	Q9LFW0
Q8GWW7	Q9S7X6
F4KIX0	P93298
Q9S834	Q9XJ35
P25864	Q9XJ27
O80439	Q8VY91
Q1G3M3	Q8RYD1
Q37165	Q94AQ8
Q9C615	Q9LXZ5
Q84MB2	Q9SZ75
Q39108	Q84UU4
P56763	P56807
P0C8Q2	Q9FS16
Q9LDY5	Q9SCY3
P23321	Q39194
Q8S2T0	Q8S2T0
P56778	Q9LR64
O80575	Q9LQL0
Q9C595	Q9FGM0
A2RVM8	Q9C5D3
Q8GSJ6	Q9LR64
Q3ECH9	Q3EDI6
Q9LK61	Q9LR74
Q9LK86	Q9SJK9
O22264	P35510
Q0WPQ2	Q9SKK0
F4IVI0	Q8VWI7
Q9LSP7	Q9ZV85
P56770	P56806
P56802	Q84JG5
Q9LD95	Q9SIC9
Q681Y3	Q9SZR0
P51412	Q9LK61
P93831	P93831
Q93VA3	Q9SHE8
Q9FX77	Q9M9E8
Q39238	Q8RVQ9
P42732	Q9M1X0
P92544	P93318
Q9MA56	Q9SUM4
P93286	P93311
Q8L7A9	Q9C744
F4HVZ5	Q8LDR3
Q56YJ8	Q5BPF3
P42732	P56799
O80634	Q8W0Y8
O82499	P56759
O23674	Q9LQ12
Q0WVW7	Q9FQ09
Q8GWG0	Q8L4Y2
Q9M1S9	Q9SYM0
F4JZG9	Q9FJT8
Q8LDQ4	Q9SJN0
P52420	Q9LVW7
Q9SMS0	Q9ZVE7
P39697	P56792
P42732	Q8RXX5
P92990	Q84K52
O49347	Q9ZVL6
Q9FNR3	Q9SY60
P0DKJ8	Q9FVI6
Q8LSZ4	Q9FNY2
Q39194	Q9C9K1
O23049	Q9SX68
P92966	Q8W4B1
O49292	P82715
Q93XM6	Q93XM6
Q8L7R3	Q9MA90
Q9SEU6	Q9XFH9
O64470	P13114
Q9LDY9	Q9SA52
Q8VZA0	Q9FLM8
P92959	Q9LP37
P26288	Q9SGH4
O48724	O48963
Q8RXX5	Q9LRN8
C8KI33	Q0H8D7
Q84TK1	Q9LSI7
Q8L707	Q9SNE5
Q2V2S7	Q9SUI5
P56779	P56790
F4HTT6	Q9LDY5
O23095	P92519
Q9C9N3	Q9FKR9
F4JW68	Q9M0Y1
P56801	Q9MAP3
O82170	Q9LS54
Q8L7A9	Q9SB50
B9DG24	P56763
P47735	Q8LAD7
O82234	Q9XJ27
O03042	Q8L9X2
Q9C534	Q9CAG8
Q9C7P4	Q9SV09
Q6AWX6	Q8S8M5
Q8LBP4	Q8LBP4
Q1ACB3	Q9LY74
P92959	Q9FY50
B9DGI8	O22763
Q84J62	Q9SAI5
P16127	Q93ZB6
Q3ECD6	Q9FZE4
Q9C5Q8	Q9C793
Q8GXX0	Q9XI46
Q84WV9	Q9FPW4
O82631	Q8RWU6
Q941C5	Q9LXU0
O49562	Q9SPK4
Q39208	Q9SAA9
Q8S307	Q944A7
Q6USK2	Q9SH93
Q42536	Q9ZV24
F4JCX9	Q6R0H1
Q39233	Q9LXZ5
Q8H1E7	Q8RXU6
Q9SIB4	Q9XFB1
Q42600	Q9C942
Q9M5P3	Q9ZUU2
P39697	P56751
O82462	P56795
P92959	Q8S9L5
P82744	P82752
O48724	Q9C9Q4
O80770	Q9C950
Q94KD0	Q9FFN9
O04603	P56802
O80634	Q9SGH4
O82392	Q05728
P56756	P56808
Q680Q4	Q8L7S0
O80439	P56798
Q38961	Q9ZW76
O23160	O23160
Q39204	Q9S7H8
Q9M9Y4	Q9SKT1
P61843	P61847
O64750	Q93YN0
Q5M750	Q9LIE6
P56765	P56804
Q5PP28	Q9LDE1
Q01667	Q07473
P56798	Q9SJ41
O80809	Q9FZE4
Q8LFJ8	Q9FT74
Q8LF41	Q8W5S1
Q9LYZ0	Q9SUM4
Q6NML5	Q8RWD7
O23049	Q9LER7
F4IHY7	P56762
P56778	Q39194
Q01667	Q94BS2
O65502	P23321
F4I3P9	Q1H5E9
P92959	Q8L6Z4
P56772	Q8LB10
P56761	Q9S714
Q38933	Q9CAK8
P56795	Q9T0D7
O22795	Q9LU64
Q9C9K1	Q9S7N7
P32069	P49572
Q96500	Q9SYX1
Q8GXU8	Q9C9P4
Q9SJE2	Q9SLA8
Q94KK7	Q9LRP1
Q93VK5	Q9M9F5
Q3ECD6	Q8LFL4
Q9FWX6	Q9M8S6
Q9C6A1	Q9SD53
O65220	Q9SCY3
Q9MA56	Q9SF36
O04197	Q9FUP0
F4K6F1	Q8L707
Q9SE33	Q9SU30
Q8H103	Q9C524
Q8VY07	Q8VY07
O49558	Q9SS97
Q1H537	Q9LYR2
F4KAK5	O81024
Q9FHH2	Q9SIJ5
Q9SL05	Q9XF91
P56772	Q9SAA2
Q9LMH6	Q9SY74
O23024	Q9C969
F4K4R6	Q9FLQ0
P47735	Q9XF04
O49160	P61841
Q84VQ4	Q9S9N6
Q9FPR2	Q9LY91
Q9LPR8	Q9LPR8
O22870	Q9SSA5
P56766	P56783
Q9SV82	Q9SY20
P0DI07	P42738
O80809	Q8LFL4
Q94AQ8	Q9SHE8
Q9C5E5	Q9SRQ7
O80605	Q94AZ2
Q9LHG8	Q9LMJ7
Q9SJF1	Q9ZRZ8
O22607	Q9LG02
P56788	P56807
F4IFF3	Q9ZQH2
Q8LCA1	Q9SUI4
Q9FY50	Q9SX68
Q94A15	Q9LJU0
O80845	Q9M1J1
Q8LD63	Q9SIZ9
P56755	P56778
Q2V4N5	Q8VY98
Q9CA78	Q9LUW5
P25071	P25071
F4I1G5	Q8LGG8
P25697	Q9XF91
Q9LW85	Q9SRS3
Q94KK7	Q9LFP1
P51412	Q9MAP3
O22607	Q8LRK8
O49595	Q38959
Q9FMF5	Q9FYE2
Q3EAL1	Q9SJ56
Q43125	Q84LH8
P49333	Q9LU77
Q8W115	Q9ZWD1
Q9FDX6	Q9LU05
Q9LNJ4	Q9XHV0
Q38854	Q9CAK8
Q8VYV7	Q9SJ05
Q1PF16	Q9SX22
O81270	Q9FIX0
Q8GX78	Q8VY98
Q8LBZ4	Q9LZF7
P56756	P56782
Q9FFZ1	Q9MBA1
Q3EC60	Q8W595
Q9LG05	Q9LIE6
Q949S5	Q9SKK8
P56801	Q9M0E2
Q9LXX6	Q9SCS6
Q1G3Y0	Q9LJE2
F4K687	O04200
P37271	Q9LY74
Q9FKD0	Q9FMQ1
Q9LZP6	Q9SCL2
Q9LIJ0	Q9LRW1
O23404	O24457
O65440	Q6IWA9
O48963	Q9C9Q4
O22823	Q945P8
P56807	Q9LY66
Q39227	Q9M643
Q94AQ9	Q9SW18
Q9C5W0	Q9SF47
Q9FVR6	Q9SQT4
O22609	O22609
Q8S4F6	Q9C5E5
Q9M1K0	Q9SGU3
Q9LYZ0	Q9SF36
Q84JU4	Q9LQF0
O23344	Q9SHE8
Q84WE4	Q9FJR5
Q2V2S7	Q9C685
Q84MB2	Q93ZM9
Q39195	Q9XF91
O82660	Q9FEC1
Q9FV53	Q9T041
O80809	Q9XF04
Q7XJM2	Q9M9Y8
Q9FJA2	Q9LVW3
Q9M591	Q9SZ30
Q8RXX5	Q9SJ41
Q9FNY2	Q9FNY3
Q9LJB7	Q9LJB7
Q94K78	Q9ZU25
Q8L607	Q9ZPV5
Q07356	Q38933
Q9C9W9	Q9FN50
F4HXZ1	Q9SZE4
O22229	O64654
P92535	Q04613
P56756	Q9LYR2
Q8GYY7	Q9SZQ5
P49107	Q93VA3
Q9FPS0	Q9M391
Q1PE49	Q6NM73
P56759	P56801
O50061	P39697
P93831	Q9SUM4
Q95695	Q9S829
P56754	Q9SUI6
Q38933	Q9M9F5
Q8W246	Q9M647
O22203	O64470
P35632	Q8GZA8
Q9FNZ4	Q9LUA3
P82538	Q9SCY3
O22229	Q9SIK1
O23160	Q9S7H1
P49599	Q9XF91
F4JF14	Q500V9
O82499	P42732
Q93WX6	Q9LF68
O80575	Q9LDD5
P56774	P56782
P46897	P46897
P56761	P56794
P93014	Q9FZ81
O81643	Q0WNW4
O04203	O04203
P31265	Q9LK61
Q3ECM0	Q9LUP8
P56792	P56806
O22203	Q84P24
Q8VWJ1	Q9CA67
O23166	Q39249
Q8RXD9	Q94AX2
O82387	Q9SJW9
P56771	P61843
F4JZG9	Q8LBP4
O03042	Q42029
Q6IWB1	Q9FLX4
Q66WT5	Q9FFZ1
P56770	P93311
P92949	Q9SZ46
O50061	P56801
P56760	P56782
Q93Z70	Q9C5U8
Q9FL25	Q9M0Z3
Q8LFD5	Q9LS95
P93014	Q9M9H4
O22873	Q949W6
O80345	Q1PFW3
Q8L3R2	Q9SN89
Q8VZ95	Q9SVZ9
Q8GT74	Q9FK43
Q0WVH0	Q9FY50
Q94A41	Q9SIK1
Q84MB2	Q9SKK0
P46639	Q84JG2
Q6DBA5	Q9FLM8
P16180	P56795
P52032	Q6NMS0
P61841	Q9FIG9
Q41932	Q9STF2
Q9FNA9	Q9SRQ7
Q94A79	Q9M2I9
Q8LAV5	Q8RYD1
P56756	P56765
Q8RYD9	Q9FJK3
Q9SX22	Q9SX68
P56790	P56801
F4INA9	P42698
O23049	P56797
P56751	Q9ZR03
Q0WPA5	Q9C9Z3
P32069	P42738
Q6GKX5	Q8L539
P56754	Q9LU21
Q42536	Q8LDU4
Q9FJA2	Q9LFE2
Q8L5W8	Q93WC4
O22161	Q9FLF4
F4JKB6	Q9SY69
Q1WIQ6	Q93ZW0
O48767	Q0WQE7
P36211	P56805
Q8GUI6	Q8L6Y4
Q9T070	Q9ZR03
P82715	Q9ZVL6
O65502	Q9LYR2
Q9LD95	Q9SKX4
Q9LDY5	Q9LPC4
F4J469	Q7Y1W1
Q9LU64	Q9XJ27
Q1H5C9	Q9C9R6
Q3E7I5	Q9FHB2
Q67Y99	Q9S834
P46639	P46639
P56752	Q9CAC5
P56762	Q8VZV9
Q9LMA1	Q9S745
O80345	Q9C9U2
Q6IWB2	Q941C5
P39697	P61847
Q9C552	Q9SVE6
Q6NNM0	Q8W489
Q1PF16	Q9LTC7
Q9C5T4	Q9S745
P56754	P56760
Q43125	Q9FE22
C0SVS4	Q9FL03
F4JCC1	P92966
P93829	Q8LFP1
P56795	Q8VZU4
Q9C587	Q9SXY1
Q8LPK5	Q9SNE5
Q9XFB1	Q9ZQ12
Q9SKX4	Q9SYL9
P56763	P56806
Q6NN00	Q9ZT17
P16972	Q42029
P62598	Q8L9T7
Q0WSX8	Q9SGD1
P23321	P81760
O24646	Q84KJ5
Q3S4A7	Q8L9T7
O24606	Q0WPQ2
Q9SUU5	Q9SW21
Q84W91	Q9SY74
O23341	Q3EAL1
P56762	P56779
P92953	Q570R7
P46014	Q8RWN7
O22607	Q683D7
F4HPA7	Q8LCH5
Q0WQE7	Q9FMB4
F4KI56	Q8VZT6
P26288	P56763
P93014	Q8VWK4
P56754	Q9SUS1
Q8L4Y2	Q8LG50
O82175	Q94F88
Q9LVS0	Q9LVS0
Q8W4J8	Q9FNX8
O49519	O80809
Q9FIW9	Q9FMY7
Q00958	Q8L3W1
F4KAK5	Q9C888
Q8L6Z4	Q9LK61
Q9C5S0	Q9FZA2
Q8W0Y8	Q9LR64
O80942	Q39262
F4HRI2	Q9LTH9
O04603	Q9SAI5
P35510	Q9LFJ8
Q9SZQ5	Q9SZQ5
O81417	Q9LSQ3
Q9M9F0	Q9SZG3
O23049	Q9FV52
C4B8C5	Q9LFT5
Q5M750	Q9LDH1
Q9SIT1	Q9SIT1
P56791	P62090
Q8GX29	Q9LML2
F4KF65	Q9LW88
Q9SCY5	Q9SCY5
Q946J8	Q94F88
Q1EBV7	Q9LT68
Q04996	Q4V3E2
O04200	O04420
Q84UU4	Q8LFD5
Q9LU86	Q9M5P3
O24457	Q8H103
Q9FIA9	Q9SZH4
P56755	P62090
Q8W571	Q9FE70
Q9S9N6	Q9SUI6
F4I532	P25864
Q6ICY4	Q9M9A5
O82499	P56791
Q9FI80	Q9LKA5
O80683	Q5M750
P56761	Q8W0Y8
Q8S905	Q9SA32
Q8VZE7	Q9ASX5
Q9FJ82	Q9LU21
P25873	Q9LK61
P42753	Q9C6Y3
Q9LYU8	Q9SZV3
Q8GS60	Q8LEU3
Q9LZD0	Q9SRK7
Q9LQW3	Q9LQW3
Q9C5I1	Q9FK51
P56774	P56791
Q941D3	Q9LW57
O65202	Q9FUP0
Q9M8X2	Q9MAP3
Q8L5Y9	Q9M315
Q9SJL6	Q9SUJ1
Q9M3H5	Q9ZT63
Q9FVR6	Q9SUS1
P93829	Q9LF06
P83755	Q8LBP4
Q9LRN8	Q9SJ41
Q9CA66	Q9S7L2
Q9LUS7	Q9SCZ4
Q9MBA1	Q9SJE1
Q0WU02	Q9MA63
Q0WMZ5	Q6NKU9
Q3ECJ5	Q8W261
Q500V9	Q8GWQ6
P16127	Q8S9J1
P56760	P56791
Q39227	Q9SAA9
P56755	P92544
F4J8R4	Q9SY03
Q9FPW4	Q9M2F8
Q6NPM8	Q9SU56
P56788	P92525
A8MPR5	O22993
O23095	Q9MAP3
P93311	Q9SKX4
Q3ECP0	Q8W5S1
P56805	P56808
Q0WNP8	Q9FIT1
Q9LUH2	Q9SFB0
O80588	Q39067
Q9STE8	Q9SVC4
P56802	Q9SZD6
Q94JL3	Q9FIX5
Q9CAD5	Q9LSE2
Q8LDN4	Q9LXU0
O64698	Q9LDU6
P29525	Q9LZA6
Q9SJV5	Q9XH75
P23321	Q9SL05
B3H6Y2	F4I878
Q9FNY2	Q9FNY2
Q9C7X5	Q9LV04
Q9C9N3	Q9SV09
Q9CAC5	Q9SGH4
Q9FKT1	Q9LUS7
Q84MB5	Q9FZ81
P56805	Q9LY66
Q8VY05	Q9FMT4
Q56Y11	Q5HZ00
Q8S9G8	Q9LTH9
P56779	P83755
Q9LFE2	Q9M3B4
Q9S837	Q9XGY4
Q8GXN9	Q9FVW4
Q8W475	Q9FMT4
Q8S307	Q94JM3
Q9FI72	Q9LM73
P56806	Q8VZU4
P61841	Q94FY7
F4IV16	Q38814
P93311	Q9FJP3
P82718	Q9S733
O22864	Q9FN11
Q7Y1W1	Q9STE8
P13114	Q96323
P56791	P56794
P56802	P56806
O23661	O80931
Q8GXP4	Q9FNN3
Q9AT00	Q9M903
P56799	Q9FLN4
Q8L7V3	Q9FYH7
P56763	P56780
Q8L4Y5	Q8VZL6
Q9LU21	Q9SMS0
Q84JF5	Q9SZL6
Q96301	Q96301
Q9FMS7	Q9SJ56
P92518	P93308
P56788	P56806
Q8L9W8	Q9SI52
Q42029	Q9LR64
Q8RWD7	Q9M1H8
Q9SFB0	Q9ZT63
P56755	Q9LVM2
O80683	Q9SZG3
P61841	Q9M0V4
Q8GXT3	Q9LTS4
O22265	Q38885
Q9C7Y4	Q9S9P8
Q9LTJ8	Q9ZUI9
O23215	Q9M1H8
Q946Y7	Q94KK6
Q9SUI4	Q9XF91
Q93V85	Q9FLZ9
P42551	P56806
P56756	P56783
B3H5J1	F4JBX1
P56751	P56796
Q5S1W2	Q5S1W2
Q8LCN5	Q9FZA2
O22799	Q9SBJ1
P49243	Q9LXS6
P56797	Q9SKX4
O64470	Q9FI78
Q39194	Q9SUI4
O23160	Q8VY27
Q9LU86	Q9SEU6
Q6F6B5	Q9MBA2
P27202	P56779
Q9S9N9	Q9SJ25
F4HTM3	Q38798
Q93WX6	Q9ZS97
P0DN97	Q058G9
P56807	Q9ASV6
P56792	P93311
C0LGJ9	Q9LPT1
P56780	P62090
Q941C7	Q9LK37
P56779	Q39195
Q9LY75	Q9SEE9
O24606	Q9SJN0
P56779	P56780
P56797	Q9FJP3
Q8VY76	Q9FUD3
Q9LTC7	Q9M1K0
P92519	Q0WRX3
O22607	O82266
Q8W4D6	Q9FLX8
Q9FN69	Q9ZTC3
Q3EDH8	Q3EDI6
Q9FFR6	Q9SAI5
F4KB79	Q3E880
Q700C7	Q8LC53
P42799	Q93ZB6
Q9C5W0	Q9SFD8
P16127	Q9MBA1
Q9M9B4	Q9M9R9
P31265	Q9M0E2
Q680Q4	Q8VZI7
Q9LML2	Q9SX29
P42732	P56808
Q9M995	Q9SZU7
O22795	Q9FWS4
O23049	O82499
Q9LK09	Q9SL48
Q9FNY0	Q9SLB6
Q945M9	Q9FMV5
Q9FZ81	Q9SKX4
F4KB79	Q9FGF6
P0DN98	Q058G9
O22527	Q42536
Q1H537	Q9M9B4
Q8GYM3	Q9FMB4
P42732	Q9LY66
P92994	Q9C6U1
Q93W32	Q9ZQ23
O22208	Q94F58
F4I2H2	Q8VY05
Q9C9Z3	Q9LMG7
Q9LNJ5	Q9LVI4
Q5E930	Q9LS46
Q05728	Q9LIR4
Q9FM96	Q9ZU23
Q01667	Q9S713
Q84W91	Q9SK74
Q8RX79	Q9SJV5
O23024	Q93Z38
Q9LMX5	Q9SJN0
F4K265	Q9FH32
O82232	Q9LK37
P56796	Q9LK61
O49603	Q38833
Q9M041	Q9SKB3
O22633	Q5PP26
F4JF21	Q9LU64
O48529	Q8VYV7
P43082	Q9S745
Q9C6Y3	Q9SFW6
Q9FNY0	Q9SZD1
O23160	Q8LAL2
O82462	Q8VZC3
O82499	P56804
Q9SA52	Q9XIK0
O23593	P56799
Q8GXE9	Q9LVC3
P92959	Q8RXX5
O80871	Q9SRE5
O04046	P37271
P56763	P93311
P46312	Q9SZ42
Q93Z70	Q9M8M7
O23708	Q9FGN8
P26289	Q9SUI5
Q94AD8	Q9FLX3
A8MS78	Q8LE94
Q9M7T0	Q9SGS4
P56774	P56804
Q8VZU4	Q9LVA9
B9DFV2	Q9M9G6
P26289	P61843
Q9SCS7	Q9SY60
Q9C920	Q9C920
Q8LCQ4	Q94AQ8
P56751	P56770
Q9SY20	Q9ZW88
Q8LBP4	Q9ZVL6
Q2L6T6	Q8VY98
Q9SU30	Q9SU30
P93312	Q9T6H8
O80644	Q0WQJ3
Q8S2T0	Q9SJL6
Q84W66	Q84W66
F4HZD1	F4IP06
P56780	Q9XF91
Q9FXA7	Q9ZVI7
O81313	O81313
O64730	P49599
P0C8R0	Q9FGF6
O49432	Q9XHV0
P56760	P56804
Q8VZD4	Q9SXJ6
Q681Q7	Q9FN48
Q9FME4	Q9LUW5
O80439	P56794
Q8H7F6	Q9FGS4
Q9FVS9	Q9M2U2
Q9C895	Q9SI96
Q8LDR3	Q9C835
Q0WPW5	Q9LVW7
P56752	Q37165
O22795	Q9XJ27
P56804	Q9FIG9
Q6NLV4	Q6NLV4
Q9XI00	Q9ZW88
F4JGP6	Q9SU91
Q9FGC7	Q9SZZ8
O64843	Q94AM9
P56792	Q9M1X0
Q8W4I6	Q9ZPV5
O49203	Q9SYL9
O49292	P82281
O48676	Q9ZTA1
F4JCX9	Q9FL48
Q84J62	Q9M8X2
Q8L9S1	Q9FY50
P93318	P93319
P41151	Q8LFR2
P56792	P56799
Q42581	Q9FI13
P62090	Q8LCQ4
Q9FFX6	Q9LXX6
Q38814	Q8VXZ0
Q5M721	Q8L607
P56756	Q9M9B4
F4IK01	Q9FMB4
Q9FH22	Q9SL94
Q9FN11	Q9LSD5
Q38959	Q9LZR0
O81787	Q6DBH0
O64764	O64764
O22683	Q94CE3
Q7XA74	Q9LSB4
O04603	O22056
O65312	Q5E915
Q680N1	Q8GXC7
P25873	P51412
Q84P17	Q9SEY5
P49078	Q94AY1
Q8L7S3	Q9LFE2
O80796	Q8L7L0
F4K0E8	Q5HZ00
Q8L7R2	Q9C5U8
Q8GWF1	Q9C557
O22244	Q5PP23
P56778	P56807
Q6S5G3	Q9SV68
Q8W583	Q9XF63
P35510	Q9LFD1
O23342	Q38885
P68350	Q8VZI9
A8MQN2	Q93WK5
Q9FIT9	Q9SSQ8
F4JMJ1	Q0WT48
Q2V3I3	Q8S8I4
Q8GUP1	Q8W4P1
Q84WQ5	Q9LF97
F4JW68	Q2V485
P92947	Q9SIP1
P56756	Q9SUU5
Q9FV70	Q9FV70
P25873	Q9M0E2
Q9M2S6	Q9ZT50
P52420	Q67YC9
Q8L4Y5	Q9LSW2
Q9SI09	Q9SJN0
O82190	Q94AR4
Q8GW78	Q9SXJ6
Q9LYK6	Q9M3B4
Q07356	Q38932
Q7Y0S0	Q9SZ30
Q1PF50	Q9SHZ6
P56751	Q94AQ8
Q8W261	Q941C5
Q94CH5	Q9LY09
Q8L735	Q8L762
Q42536	Q93ZA0
F4ILR7	F4JFJ3
O49624	Q9FLP7
O48779	Q39041
Q94A94	Q9S7B5
P16972	Q9LZ66
Q3EDH8	Q8S8N2
Q8L9S1	Q9LVC9
O24527	Q9C502
Q00958	Q9XF04
Q39204	Q84UU4
Q9LRZ3	Q9ZPV5
Q56XP4	Q84TI7
Q84JG5	Q8L9S1
P16180	P56802
Q38893	Q9M9F5
Q84VQ4	Q9CAC5
O23049	Q9LRN8
Q9LVW4	Q9SFD8
Q8W5B1	Q8W5B1
O65502	Q9M9B4
Q8W034	Q9FMG4
P56805	Q9SYL9
O81024	O82567
O04609	O23413
F4JH53	Q9SD61
Q9FMN2	Q9ZV56
P56807	Q8VZ55
Q683D7	Q9SUM4
Q84VZ6	Q94AM1
A8MR65	O80536
P56802	P93311
Q8L493	Q9SZV3
Q9M9B3	Q9XI31
F4JLQ5	Q2V3R5
Q39194	Q9S7N7
Q8W4E6	Q9LXX6
Q84M96	Q9FHA2
Q940A7	Q9LIA6
Q93WJ9	Q9FNR3
Q9C615	Q9LMP7
P56791	P56801
P16180	Q9ASV6
P27202	Q96250
F4J264	P92959
P56788	P93311
Q9LK61	Q9LP37
Q8L5T9	Q8VXU6
O22893	Q94A08
O04130	Q0WWE3
Q6LA42	Q8L500
Q9FI80	Q9FX45
P56755	P56801
O23078	Q9SRQ7
O49519	Q9LUA1
Q9M385	Q9M8N2
Q5Q0H2	Q93W32
P56758	P56761
P56766	P56807
Q3ECR7	Q8H0V4
Q8VZP4	Q8VZP4
Q8VZW3	Q96323
P26288	Q9ZR03
Q9S714	Q9XF91
Q7Y1W1	Q8LPR8
O03042	P56762
O22975	Q9FNA9
Q8GWW7	Q9C5C4
Q8S8P5	Q93VB2
Q9FI00	Q9XGR4
Q9LNC0	Q9SY69
O04487	O80770
O80809	Q6IWA9
Q9FLU1	Q9M4A1
O48724	Q6NLC8
O82533	Q6F6B5
P56761	P56763
P56807	P93014
Q9CA30	Q9FKZ3
F4I2H2	Q8W475
Q3E9I4	Q8S8M2
F4JLC1	Q1H5E9
F4ITL6	O24606
O23215	O65567
F4IUE7	Q9SN73
Q93WC9	Q940D0
Q8LEE9	Q94F57
P92994	Q84P23
Q9FMC2	Q9FYJ6
Q8RXS1	Q9SUI4
Q01667	Q9SUI4
Q9C788	Q9S746
P56773	Q37165
O82533	Q9XII1
Q9FLI3	Q9FLI3
Q0WPF2	Q8GUP1
Q940U6	Q9LU39
O22137	Q9FL87
P55826	Q8L440
P56754	P56759
Q9C9W0	Q9CAF5
Q9LDA9	Q9XIL5
Q9SFB0	Q9SGU3
Q8VY16	Q9LIA6
O04652	Q9SQT4
Q93Z70	Q9C5C4
F4I241	O22607
O80575	Q84JC2
O24520	Q67XG0
Q058P4	Q9LU91
O82660	P82538
Q8W0Z6	Q9M2T1
Q93W77	Q9XIK3
Q9LVC9	Q9M8X2
Q9C5G5	Q9SIS4
P42732	Q9SYL9
O80397	Q8S8P5
Q9M9Y4	Q9M9Y4
Q9FNZ4	Q9LQW3
O64503	Q500Y9
Q9ZWA2	Q9ZWA2
Q84JG2	Q8VZ79
O82266	P56762
P82715	Q42029
Q9LX29	Q9XF04
O50061	Q9SX68
Q8GWQ6	Q9FIT4
Q9FQ20	Q9S9P0
Q944A6	Q9SCY5
P56799	P56804
P92510	P92511
Q39233	Q9LMP7
Q9CAA9	Q9M1W7
Q9FY50	Q9LRN8
P93014	Q9SX22
P42777	P42777
P09468	P56761
Q9LK61	Q9LVC9
Q9C666	Q9C7G6
Q9FLP7	Q9FVS1
Q93Z00	Q9FH95
P82624	P82782
Q9LJ64	Q9SRQ3
Q8H1E8	Q94F88
P61841	Q9LFV0
Q9LZ03	Q9LZ03
F4IHY7	Q8VZV9
Q84J46	Q94B59
P42752	Q9FNY0
P37271	Q94B35
P56802	Q9M1X0
P10896	Q42029
P56773	P61841
Q8VY97	Q9FG71
Q8GYW0	Q9LZF7
Q8L3W1	Q9C5G0
P51412	Q9FWS4
O04547	Q2V4E2
Q8L607	Q9M385
Q9SYH1	Q9XJ27
Q9LUP8	Q9M1Q1
P05466	P29976
Q9FKK6	Q9M0V4
Q84JG2	Q84JG2
F4KDA6	O49668
A2RVM0	Q8H0U5
O04547	O80809
Q67Z93	Q9C9W9
F4IMH3	Q9LRZ3
Q93ZW0	Q9C6Z3
P42799	Q93Z70
Q8H1G0	Q9SV30
P56795	P61847
Q9C9P4	Q9SW21
O04420	Q8GXV5
P56762	Q93VC7
Q8H0T5	Q8H0T5
Q56X72	Q9SUR3
Q58G53	Q5XVC4
O82277	Q94JW8
A9LLI7	Q6NQJ6
O04609	O80397
Q8VXY7	Q9LVI9
Q9LET3	Q9M1B5
Q9MBG8	Q9SZ75
O80536	Q43125
P42799	Q38833
Q8LB10	Q9SAA2
P56780	P56801
Q84V22	Q9SZR0
Q8LG50	Q8S8S2
O81208	Q9FEC1
Q9SUU5	Q9ZUX4
Q8VZ22	Q8VZ22
Q9FFT4	Q9LUM4
F4J4N3	Q9SUQ8
P42551	P56799
P56802	P92959
O80439	P56801
Q8GYA6	Q9FGN8
Q00958	Q9SLH3
Q8S2W4	Q9M373
O49562	Q1EBV7
P56766	Q9S829
F4JP46	Q9S7E4
P42804	Q8LDU4
Q9LK09	Q9SEL5
F4I532	P56806
F4KCE9	Q8VZA0
Q9SAK2	Q9STX3
O80458	P37271
P56782	P56792
Q96301	Q9SLH3
Q05728	Q7Y0S0
O22229	Q42593
Q9S745	Q9SE33
Q9LRZ3	Q9SJF1
F4I7C7	Q9FQ19
Q3ECD6	Q8S8N1
Q9LDH0	Q9ZW86
P56770	P56808
Q8GWK1	Q9M8X2
Q9C5G5	Q9C680
Q43314	Q9LXS6
O22698	Q84W80
Q6DBG8	Q9LY62
O80634	P27202
Q8L4R0	Q944H2
P62090	Q8LCA1
Q93VC7	Q9ASV6
Q8H0W9	Q9SHV5
P56756	Q8H124
Q39103	Q93ZB2
